Scientific_Name,Common_Name,Threat_Status
Geositta poeciloptera,Campo Miner,VU
Geothlypis aequinoctialis,Masked Yellowthroat,LC
Geothlypis velata,Southern Yellowthroat,LC
Glaucidium minutissimum,Least Pygmy-Owl,LC
Glaucis hirsutus,Rufous-Breasted Hermit,LC
Habia rubica,Red-Crowned Ant-Tanager,LC
Harpyhaliaetus coronatus,Crowned Eagle,CR
Heliactin bilophus,Horned Sungem,LC
Heliobletus contaminatus,Sharp-Billed Treehunter,LC
Heliomaster furcifer,Blue-Tufted Starthroat,LC
Heliomaster squamosus,Stripe-Breasted Starthroat,LC
Heliothryx auritus,Black Eared Fairy,LC
Hemithraupis flavicollis,Yellow-Backed Tanager,LC
Hemithraupis ruficapilla,Rufous-Headed Tanager,LC
Hemitriccus diops,Drab-Breasted Tody-Tyrant,LC
Hirundinea ferruginea,Cliff Flycatcher,LC
Hirundo rustica,Barn Swallow,LC
Hylocharis cyanus,White-Chinned Sapphire,LC
Hylopezus nattereri,Speckle Breasted Antpitta,LC
Hylophilus poicilotis,Rufous-Crowned Greenlet,LC
Hypoedaleus guttatus,Spot-Backed Antshrike,LC
Icterus pyrrhopterus,Variable Oriole,LC
Ilicura militaris,Pin-Tailed Manakin,LC
Iodopleura pipra,Buff-Throated Purpletuft,EN
Iridosornis rufivertex,Golden-Crowned Tanager,LC
Jabiru mycteria,Jabiru,LC
Jacana jacana,Wattled Jacana,LC
Knipolegus lophotes,Crested Black-Tyrant,LC
Laniisoma elegans,Shrike-Like Cotinga,NT
Laterallus melanophaius,Rufous-Sided Crake,LC
Laterallus xenopterus,Rufous-Faced Crake,VU
Legatus leucophaius,Piratic Flycatcher,LC
Lepidocolaptes squamatus,Scaled Woodcreeper,LC
Leptodon cayanensis,White-Collared Kite,LC
Leptopogon amaurocephalus,Sepia-Capped Leptopogon,LC
Leptotila verreauxi,White-Fronted Dove,LC
Leucochloris albicollis,White-Throated Hummingbird,LC
Lipaugus vociferans,Screaming Piha,LC
Lochmias nematura,Sharp-Tailed Streamcreeper,LC
Lophornis magnificus,Frilled Coquette,LC
Lurocalis semitorquatus,Semi-Collared Nighthawk,LC
Macropsalis forcipata,Long Trained Nightjar,LC
Malacoptila striata,Crescent-Chested Puffbird,LC
Manacus manacus,White-Bearded Manakin,LC
Megaceryle torquata,Ringed Kingfisher,LC
Megarynchus pitangua,Boat-Billed Flycatcher,LC
Megascops choliba,Tropical Screech Owl,LC
Melanerpes candidus,White Woodpecker,LC
Melanerpes flavifrons,Yellow-Fronted Woodpecker,LC
Micrastur semitorquatus,Collared Forest-Falcon,LC
Micropygia schomburgkii,Ocellated Crake,LC
Muscipipra vetula,Shear-Tailed Grey-Tyrant,LC
Mustelirallus albicollis,,LC
Mycteria americana,Wood Stork,LC
Myiarchus swainsoni,Swainson Flycatcher,LC
Myiarchus tuberculifer,Dusky-Capped Flycatcher,LC
Myiarchus tyrannulus,Brown-Crested Flycatcher,LC
Myiobius atricaudus,Black-Tailed Flycatcher,LC
Myiobius barbatus,Sulphur-Rumped Flycatcher,LC
Myiophobus fasciatus,Bran-Coloured Flycatcher,LC
Myiothlypis leucoblephara,,LC
Nemosia pileata,Hooded Tanager,LC
Neomorphus geoffroyi,Rufous-Vented Ground-Cuckoo,VU
Neopelma chrysolophum,Serra Do Mar Tyrant-Manakin,LC
Neopelma pallescens,Pale-Bellied Tyrant-Manakin,LC
Netta erythrophthalma,Southern Pochard,LC
Nomonyx dominicus,Masked Duck,LC
Nonnula rubecula,Rusty-Breasted Nunlet,LC
Nothura minor,Lesser Nothura,VU
Nyctibius aethereus,Long-Tailed Potoo,LC
Nyctibius grandis,Great Potoo,LC
Nyctibius griseus,Grey Potoo,LC
Nycticorax nycticorax,Black-Crowned Night-Heron,LC
Nyctidromus albicollis,Pauraque,LC
Nyctiphrynus ocellatus,Ocellated Poorwill,LC
Orthogonys chloricterus,Olive-Green Tanager,LC
Oryzoborus angolensis,Lesser Seed-Finch,LC
Pachyramphus castaneus,Chestnut-Crowned Becard,LC
Pachyramphus marginatus,Black-Capped Becard,LC
Pachyramphus polychopterus,White-Winged Becard,LC
Pachyramphus viridis,Green-Backed Becard,LC
Pandion haliaetus,Osprey,LC
Pardirallus nigricans,Blackish Rail,LC
Paroaria dominicana,Red-Cowled Cardinal,LC
Passer domesticus,House Sparrow,LC
Patagioenas cayennensis,Pale Vented Pigeon,LC
Patagioenas plumbea,Plumbeous Pigeon,LC
Penelope obscura,Dusky-Legged Guan,LC
Penelope superciliaris,Rusty-Margined Guan,NT
Phacellodomus erythrophthalmus,Red-Eyed Thornbird,LC
Phacellodomus ferrugineigula,Orange-Breasted Thornbird,LC
Phacellodomus rufifrons,Rufous-Fronted Thornbird,LC
Phaeomyias murina,Mouse-Coloured Tyrannulet,LC
Phaethornis ruber,Reddish Hermit,LC
Phaethornis squalidus,Dusky-Throated Hermit,LC
Phalacrocorax brasilianus,Neotropic Cormorant,LC
Phibalura flavirostris,Swallow-Tailed Cotinga,NT
Phoenicircus carnifex,Guianan Red-Cotinga,LC
Phyllomyias burmeisteri,White-Fronted Tyrannulet,LC
Phyllomyias virescens,Greenish Tyrannulet,LC
Phylloscartes sylviolus,Bay-Ringed Tyrannulet,NT
Piaya cayana,Squirrel Cuckoo,LC
Piculus chrysochloros,Golden-Green Woodpecker,LC
Piculus flavigula,Yellow-Throated Woodpecker,LC
Picumnus temminckii,Ochre-Collared Piculet,LC
Pionus maximiliani,Scaly-Headed Parrot,LC
Pipile jacutinga,Black Fronted Piping Guan,EN
Pipra fasciicauda,Band-Tailed Manakin,LC
Pitangus sulphuratus,Great Kiskadee,LC
Platalea ajaja,Roseate Spoonbill,LC
Platyrinchus mystaceus,White-Throated Spadebill,LC
Pluvialis dominica,American Golden-Plover,LC
Podilymbus podiceps,Pied-Billed Grebe,LC
Polioptila dumicola,Masked Gnatcatcher,LC
Polytmus guainumbi,White-Tailed Goldenthroat,LC
Porphyrospiza caerulescens,Blue Finch,NT
Primolius maracana,Blue Winged Macaw,NT
Procnias nudicollis,Bare-Throated Bellbird,NT
Progne chalybea,Grey-Breasted Martin,LC
Progne tapera,Brown Chested Martin,LC
Pseudoleistes guirahuro,Yellow-Rumped Marshbird,LC
Pulsatrix perspicillata,Spectacled Owl,LC
Pygochelidon cyanoleuca,Blue-And-White Swallow,LC
Pygochelidon melanoleuca,Black Collared Swallow,LC
Pyriglena leucoptera,White-Shouldered Fire-Eye,LC
Pyrocephalus rubinus,Vermillion Flycatcher,LC
Pyroderus scutatus,Red-Ruffed Fruitcrow,LC
Pyrrhura frontalis,Maroon-Bellied Parakeet,LC
Ramphocelus carbo,Silver-Beaked Tanager,LC
Rhea americana,Greater Rhea,NT
Rhopias gularis,,LC
Rhynchotus rufescens,Red-Winged Tinamou,LC
Riparia riparia,Sand Martin,LC
Saltator fuliginosus,Black Throated Grosbeak,LC
Satrapa icterophrys,Yellow-Browed Tyrant,LC
Schiffornis virescens,Greenish Schiffornis,LC
Schistochlamys melanopis,Black-Faced Tanager,LC
Schoeniophylax phryganophilus,Chotoy Spinetail,LC
Sclerurus scansor,Rufous-Breasted Leafscraper,LC
Scytalopus iraiensis,Marsh Tapaculo,EN
Scytalopus novacapitalis,Brasilia Tapaculo,EN
Scytalopus petrophilus,Rock Tapaculo,LC
Scytalopus speluncae,Mouse-Coloured Tapaculo,LC
Sicalis citrina,Stripe-Tailed Yellow-Finch,LC
Sicalis flaveola,Saffron Finch,LC
Spinus magellanicus,Hooded Siskin,LC
Spizaetus melanoleucus,Black And White Hawk Eagle,LC
Spizaetus ornatus,Ornate Hawk-Eagle,NT
Sporophila americana,Wing-Barred Seedeater,LC
Sporophila ardesiaca,Dubois Seedeater,LC
Sporophila falcirostris,Temminck Seedeater,VU
Sporophila melanogaster,Black-Bellied Seedeater,NT
Stilpnia cayana,,LC
Stilpnia preciosa,,LC
Streptoprocne biscutata,Biscutate Swift,LC
Strix huhula,Black-Banded Owl,LC
Synallaxis albescens,Pale-Breasted Spinetail,LC
Synallaxis cinerascens,Grey-Bellied Spinetail,LC
Synallaxis spixi,Spix Spinetail,LC
Systellura longirostris,,LC
Tachybaptus dominicus,Short-Billed Grebe,LC
Tachycineta albiventer,White-Winged Swallow,LC
Tachycineta leucorrhoa,White-Rumped Swallow,LC
Tachyphonus coronatus,Ruby-Crowned Tanager,LC
Tachyphonus rufus,White-Lined Tanager,LC
Tangara seledon,Green-Headed Tanager,LC
Tapera naevia,Striped Cuckoo,LC
Taraba major,Great Antshrike,LC
Tersina viridis,Swallow-Tanager,LC
Thalurania furcata,Fork-Tailed Woodnymph,LC
Thalurania glaucopis,Violet-Capped Woodnymph,LC
Thamnophilus ambiguus,Sooretama Slaty Antshrike,LC
Thamnophilus palliatus,Lined Antshrike,LC
Thamnophilus pelzelni,Planalto Slaty Antshrike,LC
Thamnophilus torquatus,Rufous-Winged Antshrike,LC
Thraupis ornata,Golden-Chevroned Tanager,LC
Thraupis palmarum,Palm Tanager,LC
Thripophaga macroura,Striated Softtail,VU
Tijuca atra,Black-And-Gold Cotinga,LC
Tinamus solitarius,Solitary Tinamou,NT
Tityra inquisitor,Black-Crowned Tityra,LC
Todirostrum cinereum,Common Tody-Flycatcher,LC
Todirostrum poliocephalum,Grey-Headed Tody-Flycatcher,LC
Tolmomyias sulphurescens,Yellow-Olive Flycatcher,LC
Touit melanonotus,Brown-Backed Parrotlet,NT
Tringa melanoleuca,Greater Yellowlegs,LC
Trogon rufus,Black-Throated Trogon,LC
Trogon surrucura,Surucua Trogon,LC
Trogon viridis,White-Tailed Trogon,LC
Turdus amaurochalinus,Creamy-Bellied Thrush,LC
Turdus leucomelas,Pale-Breasted Thrush,LC
Tyrannus tyrannus,Eastern Kingbird,LC
Vireo chivi,,LC
Volatinia jacarina,Blue-Black Grassquit,LC
Xiphocolaptes albicollis,Vila Nova Woodcreeper,LC
Xolmis irupero,White Monjita,LC
Zenaida auriculata,Eared Dove,LC
Zonotrichia capensis,Rufous-Collared Sparrow,LC
