Scientific_Name,Common_Name,Threat_Status
Herpetotheres cachinnans,Laughing Falcon,LC
Herpsilochmus atricapillus,Black-Capped Antwren,LC
Herpsilochmus longirostris,Large-Billed Antwren,LC
Herpsilochmus rufimarginatus,Rufous-Winged Antwren,LC
Himantopus himantopus,Black-Winged Stilt,LC
Himantopus mexicanus,Black-Necked Stilt,LC
Hydropsalis torquata,Scissor-Tailed Nightjar,LC
Hylocharis sapphirina,Rufous-Throated Sapphire,LC
Hylocryptus rectirostris,Chestnut Capped Foliage Gleaner,NT
Hylophilus amaurocephalus,Grey-Eyed Greenlet,LC
Hylophilus pectoralis,Ashy-Headed Greenlet,LC
Hylophilus thoracicus,Lemon-Chested Greenlet,LC
Icterus cayanensis,Epaulet Oriole,LC
Icterus jamacaii,Campo Troupial,LC
Ictinia plumbea,Plumbeous Kite,LC
Jacamaralcyon tridactyla,Three-Toed Jacamar,NT
Knipolegus cyanirostris,Blue-Billed Black-Tyrant,LC
Knipolegus nigerrimus,Velvety Black-Tyrant,LC
Larus cirrocephalus,Grey-Headed Gull,LC
Laterallus leucopyrrhus,Red-And-White Crake,LC
Lathrotriccus euleri,Euler Flycatcher,LC
Lepidocolaptes angustirostris,Narrow-Billed Woodcreeper,LC
Leptotila rufaxilla,Grey-Fronted Dove,LC
Leucopternis lacernulatus,White Necked Hawk,LC
Lipaugus lanioides,Cinnamon-Vented Piha,NT
Machetornis rixosa,Cattle Tyrant,LC
Mackenziaena leachii,Large-Tailed Antshrike,LC
Mackenziaena severa,Tufted Antshrike,LC
Megascops atricapilla,Black Capped Screech Owl,LC
Melanerpes cactorum,White-Fronted Woodpecker,LC
Melanopareia torquata,Collared Crescentchest,LC
Mergus octosetaceus,Brazilian Merganser,CR
Mesembrinibis cayennensis,Green Ibis,LC
Micrastur ruficollis,Barred Forest-Falcon,LC
Microspingus cinereus,,LC
Milvago chimachima,Yellow-Headed Caracara,LC
Milvago chimango,Chimango Caracara,LC
Mimus saturninus,Chalk-Browed Mockingbird,LC
Mionectes rufiventris,Grey-Hooded Flycatcher,LC
Molothrus bonariensis,Shiny Cowbird,LC
Molothrus oryzivorus,Giant Cowbird,LC
Molothrus rufoaxillaris,Screaming Cowbird,LC
Myiarchus ferox,Short-Crested Flycatcher,LC
Myiodynastes maculatus,Streaked Flycatcher,LC
Myiopagis caniceps,Grey Elaenia,LC
Myiopagis viridicata,Greenish Elaenia,LC
Myiornis auricularis,Eared Pygmy-Tyrant,LC
Myiothlypis flaveola,,LC
Myiothlypis leucophrys,White Striped Warbler,LC
Myiozetetes cayanensis,Rusty-Margined Flycatcher,LC
Myiozetetes similis,Social Flycatcher,LC
Myrmeciza loricata,White-Bibbed Antbird,LC
Myrmoderus loricatus,,LC
Myrmotherula axillaris,White-Flanked Antwren,LC
Myrmotherula minor,Salvadori Antwren,VU
Neomorphus squamiger,Scaled Ground-Cuckoo,VU
Neopelma aurifrons,Wied Tyrant-Manakin,NT
Neothraupis fasciata,White-Banded Tanager,NT
Notharchus macrorhynchos,White-Necked Puffbird,LC
Notharchus swainsoni,Buff-Bellied Puffbird,LC
Nothura maculosa,Spotted Nothura,LC
Nystalus chacuru,White-Eared Puffbird,LC
Odontophorus capueira,Spot-Winged Wood-Quail,LC
Oryzoborus maximiliani,Great-Billed Seed-Finch,LC
Oxyruncus cristatus,Sharpbill,LC
Pachyramphus validus,Crested Becard,LC
Parabuteo unicinctus,Harris Hawk,LC
Pardirallus maculatus,Spotted Rail,LC
Parula pitiayumi,Olive-Backed Warbler,LC
Patagioenas picazuro,Picazuro Pigeon,LC
Patagioenas speciosa,Scaled Pigeon,LC
Petrochelidon pyrrhonota,Cliff Swallow,LC
Phaeothlypis rivularis,Neotropical River Warbler,LC
Phaethornis eurynome,Scale-Throated Hermit,LC
Phaethornis idaliae,Minute Hermit,LC
Phaethornis pretrei,Planalto Hermit,LC
Phaetusa simplex,Large-Billed Tern,LC
Philydor atricapillus,Black-Capped Foliage-Gleaner,LC
Philydor lichtensteini,Lichtenstein Foliage-Gleaner,LC
Philydor rufum,Buff-Fronted Foliage-Gleaner,LC
Phimosus infuscatus,Bare-Faced Ibis,LC
Phyllomyias fasciatus,Planalto Tyrannulet,LC
Phyllomyias griseocapilla,Grey-Capped Tyrannulet,NT
Phylloscartes eximius,Southern Bristle-Tyrant,LC
Phylloscartes ventralis,Mottle-Cheeked Tyrannulet,LC
Piculus aurulentus,White-Browed Woodpecker,NT
Picumnus albosquamatus,White-Wedged Piculet,LC
Picumnus cirratus,White-Barred Piculet,LC
Picumnus minutissimus,Guianan Piculet,LC
Pilherodius pileatus,Capped Heron,LC
Pionopsitta pileata,Red-Capped Parrot,LC
Pipraeidea melanonota,Fawn-Breasted Tanager,LC
Piranga flava,Hepatic Tanager,LC
Piranga rubra,Summer Tanager,LC
Pitangus lictor,Lesser Kiskadee,LC
Plegadis chihi,White-Faced Ibis,LC
Poecilotriccus plumbeiceps,Ochre Faced Tody Flycatcher,LC
Polioptila plumbea,Tropical Gnatcatcher,LC
Polystictus superciliaris,Grey-Backed Tachuri,LC
Poospiza cinerea,Cinereous Warbling Finch,LC
Porphyrio flavirostris,Azure Gallinule,LC
Porphyrio martinica,Purple Gallinule,LC
Progne subis,Purple Martin,LC
Psarocolius decumanus,Crested Oropendola,LC
Pseudastur polionotus,,NT
Pseudoseisura cristata,Rufous Cacholote,LC
Psilorhamphus guttatus,Spotted Bamboowren,LC
Psittacara leucophthalmus,,LC
Pteroglossus aracari,Black-Necked Aracari,LC
Pulsatrix koeniswaldiana,Tawny-Browed Owl,LC
Pyrrhura leucotis,White-Eared Parakeet,VU
Ramphastos dicolorus,Red-Breasted Toucan,LC
Ramphastos toco,Toco Toucan,LC
Ramphastos vitellinus,Yellow-Ridged Toucan,LC
Ramphocelus bresilius,Brazilian Tanager,LC
Rhytipterna simplex,Greyish Mourner,LC
Rostrhamus sociabilis,Everglade Kite,LC
Rupornis magnirostris,,LC
Rynchops niger,Black Skimmer,LC
Saltator maxillosus,Thick-Billed Saltator,LC
Saltator maximus,Buff-Throated Saltator,LC
Saltator similis,Green-Winged Saltator,LC
Saltatricula atricollis,,LC
Sarcoramphus papa,King Vulture,LC
Sarkidiornis melanotos,Comb Duck,LC
Schistochlamys ruficapillus,Cinnamon Tanager,LC
Selenidera maculirostris,Spot-Billed Toucanet,LC
Serpophaga nigricans,Sooty Tyrannulet,LC
Serpophaga subcristata,White-Crested Tyrannulet,LC
Setopagis parvula,,LC
Setophaga pitiayumi,Tropical Parula,LC
Sicalis columbiana,Orange-Fronted Yellow-Finch,LC
Sicalis luteola,Grassland Yellow-Finch,LC
Sirystes sibilator,Sirystes,LC
Sittasomus griseicapillus,Olivaceous Woodcreeper,LC
Spizaetus tyrannus,Black Hawk-Eagle,LC
Sporophila angolensis,,LC
Sporophila bouvreuil,Capped Seedeater,LC
Sporophila caerulescens,Double-Collared Seedeater,LC
Sporophila collaris,Rusty-Collared Seedeater,LC
Sporophila frontalis,Buffy-Throated Seedeater,VU
Sporophila leucoptera,White-Bellied Seedeater,LC
Sporophila lineola,Lined Seedeater,LC
Sporophila nigricollis,Yellow-Bellied Seedeater,LC
Sporophila plumbea,Plumbeous Seedeater,LC
Stelgidopteryx ruficollis,Southern Rough-Winged Swallow,LC
Stephanoxis lalandi,Plovercrest,LC
Streptoprocne zonaris,White-Collared Swift,LC
Strix hylophila,Rusty-Barred Owl,LC
Strix virgata,Mottled Owl,LC
Sublegatus modestus,Scrub Flycatcher,LC
Suiriri suiriri,Suiriri Flycatcher,LC
Synallaxis cinerea,,NT
Synallaxis frontalis,Sooty-Fronted Spinetail,LC
Synallaxis hypospodia,Cinereous-Breasted Spinetail,LC
Synallaxis ruficapilla,Rufous-Capped Spinetail,LC
Synallaxis scutata,Ochre-Cheeked Spinetail,LC
Syndactyla dimidiata,Russet Mantled Foliage Gleaner,LC
Syndactyla rufosuperciliata,Buff-Browed Foliage-Gleaner,LC
Syrigma sibilatrix,Whistling Heron,LC
Tachyphonus cristatus,Flame-Crested Tanager,LC
Tangara cayana,Burnished-Buff Tanager,LC
Tangara cyanoventris,Gilt-Edged Tanager,LC
Tangara desmaresti,Brassy-Breasted Tanager,LC
Terenura maculata,Streak-Capped Antwren,LC
Thamnophilus caerulescens,Variable Antshrike,LC
Thamnophilus doliatus,Barred Antshrike,LC
Thamnophilus ruficapillus,Rufous-Capped Antshrike,LC
Theristicus caudatus,Buff-Necked Ibis,LC
Thlypopsis sordida,Orange-Headed Tanager,LC
Thraupis cyanoptera,Azure-Shouldered Tanager,LC
Thraupis sayaca,Sayaca Tanager,LC
Tigrisoma lineatum,Rufescent Tiger-Heron,LC
Tityra cayana,Black-Tailed Tityra,LC
Trichothraupis melanops,Black-Goggled Tanager,LC
Triclaria malachitacea,Purple-Bellied Parrot,LC
Tringa flavipes,Lesser Yellow-Legs,LC
Tringa solitaria,Solitary Sandpiper,LC
Troglodytes aedon,House Wren,LC
Turdus albicollis,White-Necked Thrush,LC
Turdus flavipes,Yellow-Legged Thrush,LC
Turdus nigriceps,Eastern Slaty-Thrush,LC
Turdus rufiventris,Rufous-Bellied Thrush,LC
Turdus subalaris,Eastern Slaty Thrush,LC
Tyrannus albogularis,White-Throated Kingbird,LC
Tyrannus melancholicus,Tropical Kingbird,LC
Tyrannus savana,Fork-Tailed Flycatcher,LC
Tyto alba,Barn Owl,LC
Uropelia campestris,Long-Tailed Ground-Dove,LC
Vanellus cayanus,Pied Lapwing,LC
Vanellus chilensis,Southern Lapwing,LC
Vireo olivaceus,Red-Eyed Vireo,LC
Xenops minutus,Plain Xenops,LC
Xenops rutilans,Streaked Xenops,LC
Xiphorhynchus fuscus,Lesser Woodcreeper,LC
Xolmis velatus,White Rumped Monjita,LC
